"CODIGO_ESTACION","FECHA_MEDICION","HORA_MEDICION","CODIGO_METEORO","CODIGO_ALTURA","MEDICION","BYTE_CONTROL1","BYTE_CONTROL2","BYTE_CONTROL3","BYTE_CONTROL4","Value1","Value2"
"C051","04-04-2019","00:00",11,1600,"1,34",192,NA,NA,NA,"1","34"
"C051","04-04-2019","00:10",11,1600,"0,59",192,NA,NA,NA,"0","59"
"C051","04-04-2019","01:30",11,1600,"1,18",192,NA,NA,NA,"1","18"
"C051","04-04-2019","00:20",11,1600,"0,84",192,NA,NA,NA,"0","84"
"C051","04-04-2019","00:30",11,1600,"0,37",192,NA,NA,NA,"0","37"
"C051","04-04-2019","00:40",11,1600,"0,91",192,NA,NA,NA,"0","91"
"C051","04-04-2019","00:50",11,1600,"1,33",192,NA,NA,NA,"1","33"
"C051","04-04-2019","01:00",11,1600,"0,29",192,NA,NA,NA,"0","29"
"C051","04-04-2019","01:10",11,1600,"0,83",192,NA,NA,NA,"0","83"
"C051","04-04-2019","01:20",11,1600,"1,15",192,NA,NA,NA,"1","15"
"C051","04-04-2019","03:20",11,1600,"0,23",192,NA,NA,NA,"0","23"
"C051","04-04-2019","01:40",11,1600,"0,98",192,NA,NA,NA,"0","98"
"C051","04-04-2019","01:50",11,1600,"0,35",192,NA,NA,NA,"0","35"
"C051","04-04-2019","02:00",11,1600,"0,21",192,NA,NA,NA,"0","21"
"C051","04-04-2019","02:10",11,1600,"1,04",192,NA,NA,NA,"1","04"
"C051","04-04-2019","02:20",11,1600,"0,12",192,NA,NA,NA,"0","12"
"C051","04-04-2019","02:30",11,1600,"0,18",192,NA,NA,NA,"0","18"
"C051","04-04-2019","02:40",11,1600,"0,45",192,NA,NA,NA,"0","45"
"C051","04-04-2019","02:50",11,1600,"1",192,NA,NA,NA,"1",NA
"C051","04-04-2019","03:00",11,1600,"1,06",192,NA,NA,NA,"1","06"
"C051","04-04-2019","03:10",11,1600,"0,53",192,NA,NA,NA,"0","53"
"C051","04-04-2019","05:10",11,1600,"1,31",192,NA,NA,NA,"1","31"
"C051","04-04-2019","03:30",11,1600,"0,91",192,NA,NA,NA,"0","91"
"C051","04-04-2019","03:40",11,1600,"1",192,NA,NA,NA,"1",NA
"C051","04-04-2019","03:50",11,1600,"0,24",192,NA,NA,NA,"0","24"
