"Year","Pann","len"
1970,2348.7,365
1971,2771.3,365
1972,2505.3,335
1973,2779.3,365
1974,3309.3,365
1975,2145.8,365
1976,2508.6,366
1977,2633.6,365
1978,2971.1,365
1979,3295.1,365
1980,3091.2,366
1981,2885,365
1982,2493.5,334
1983,2444.6,365
1984,2999.9,366
1985,1881.1,365
1986,2839.5,365
1987,2215.7,365
1988,1833.9,335
1989,1495.3,365
1990,NA,245
1991,2356.5,365
1992,2717.5,336
1993,2101.2,365
1994,2571.4,365
1995,2123.4,365
1996,2651.1,366
1997,2173.2,365
1998,2371.2,365
1999,2483.9,365
2000,2524.9,366
2001,1744.4,365
2002,2872.9,365
2003,2261.7,365
2004,2283.2,366
2005,2164.8,365
2006,1705.5,365
2007,2486.5,365
2008,2580.7,366
2009,2297.9,365
2010,1964.2,365
2011,2386.7,365
2012,2103.3,366
2013,3337.5,365
2014,2885.1,365
2015,2646.3,365
